"file_name",threat,count,percent
Tuple,"GZIP(52014)",467165,"25.463537"
Tuple,"Unknown Binary File(52081)",455948,"24.852137"
MFQwUjBQME4wTDAJBgUrDgMCGgUABBR0TBEVYklX7A9yLoLD9hqmCWDxFgQU3pG,"DER Encoded X509 Certificate(52209)",164356,"8.958473"
KeepAlive,"Unknown Binary File(52081)",151060,"8.233754"
"6+rkS7QYXjzkCEAsMayxGaRewR3PGR9SvwMg=","DER Encoded X509 Certificate(52209)",79861,"4.352945"
"CVSHealthRoot.crl","Certificate Revocation List File(52280)",49461,"2.695947"
"CVSHealthRoot.crl","DER Encoded X509 Certificate(52209)",41254,"2.248612"
"6+rkS7QYXjzkCEAz1vQYrVgL0erhQLCPM8GY=","DER Encoded X509 Certificate(52209)",25082,"1.367132"
X6o13jImBHFVACFEmhcRM7f41uryMutqRluLVwD5s0,"DER Encoded X509 Certificate(52209)",17378,"0.947214"
"a6ADK8NraY2GXzVaYrHG4AQUb6t+2v+XQ3LsO2d33oJhNYhHQoUCEzMAAAAGb6J","DER Encoded X509 Certificate(52209)",15873,"0.865182"
"7Y=","DER Encoded X509 Certificate(52209)",13810,"0.752735"
"WINDOWS_6.5.1.12_host_isolation_artifact_x64.7z","7z File Detected(52158)",13671,"0.745159"
MFUwUzBRME8wTTAJBgUrDgMCGgUABBSja2hbm2ZCORxwEPY6arJHKtwFLgQU8vV,"DER Encoded X509 Certificate(52209)",12000,"0.654078"
"excel_whatsnew.xml","XML File(52384)",11691,"0.637236"
Report,"Unknown Binary File(52081)",11083,"0.604096"
"config.json","JSON File(52380)",9947,"0.542176"
"walkme_editor_extension_update.xml","XML File(52384)",8806,"0.479984"
videoplayback,"Unknown Binary File(52081)",8314,"0.453167"
"zs3-int.crl","Certificate Revocation List File(52280)",7796,"0.424933"
"zs3-int.crl","DER Encoded X509 Certificate(52209)",7483,"0.407872"
"gtm.js","Unknown Binary File(52081)",4239,"0.231053"
"outlook_whatsnew.xml","XML File(52384)",3968,"0.216282"
"DcCE1UAA48RxMnU+9J0U1IAAAADjxE=","DER Encoded X509 Certificate(52209)",3838,"0.209196"
"c9ceaa59-357c-42e6-b4e2-6432da6edd58","Google Chrome Extension CRX File(52270)",3729,"0.203255"
"LuLHJgKdLfglqA8vp+wQU0EyD0Y5xLj00sf+beSyOdNTieAYCE0kAnHyoDHUVRT","DER Encoded X509 Certificate(52209)",3540,"0.192953"
js,"Unknown Binary File(52081)",3531,"0.192463"
"b6f277cd-f3b5-4b8b-bfd1-deb9fe523cb8","Google Chrome Extension CRX File(52270)",3296,"0.179653"
"c89742fa-988f-42c0-8557-8a931c106c32","Google Chrome Extension CRX File(52270)",3276,"0.178563"
EventLog,"Unknown Binary File(52081)",3142,"0.171259"
"word_whatsnew.xml","XML File(52384)",3105,"0.169243"
